Fase,Curso,Codigo,Nota_Real,Nota_Simulada,Erro
1,Medicina Veterinária (Preparatórios),0140-8086,159.0,147.0,-12.0
1,Ciências Agrárias,0140-9022,133.0,136.0,3.0
1,Guias de Natureza e Património,0140-L344,138.0,141.5,3.5
1,Estudos Europeus,0150-9135,132.0,134.0,2.0
1,História,0150-9181,154.0,157.5,3.5
1,Psicologia,0150-9219,159.0,158.5,-0.5
1,Serviço Social,0150-9238,132.0,135.5,3.5
1,Sociologia,0150-9240,127.0,133.0,6.0
1,Comunicação e Relações Públicas,0150-9652,134.0,135.5,1.5
1,Educação Básica,0150-9853,155.0,162.5,7.5
1,Estudos Portugueses e Ingleses,0150-L041,153.0,156.5,3.5
1,Ciclo Básico de Medicina,0160-8083,176.0,170.5,-5.5
1,Proteção Civil e Gestão de Riscos,0160-8524,139.0,146.0,7.0
1,Ciênc de Engenharia-Eng Mecânica; Eng Eletrotécnica e de Computadores (Pre),0160-8571,157.0,160.5,3.5
1,Biologia,0160-9011,140.0,142.5,2.5
1,Informática,0160-9185,149.0,153.5,4.5
1,Economia,0170-9081,160.0,165.8,5.8
1,Gestão,0170-9147,142.0,143.0,1.0
1,Turismo,0170-9254,137.0,140.0,3.0
1,Património Cultural e Arqueologia,0201-8509,135.0,139.0,4.0
1,"Línguas, Literaturas e Culturas",0201-9204,148.0,151.5,3.5
1,Psicologia,0201-9219,165.0,161.0,-4.0
1,Artes Visuais,0201-9817,145.0,147.0,2.0
1,Ciências da Educação e da Formação,0201-9821,140.0,143.0,3.0
1,Línguas e Comunicação Intercultural,0201-L252,135.0,137.0,2.0
1,Arquitetura Paisagista,0203-8258,147.0,149.0,2.0
1,Agronomia,0203-9003,138.0,139.5,1.5
1,Biologia,0203-9011,143.0,145.0,2.0
1,Biologia Marinha,0203-9013,146.0,149.5,3.5
1,Bioquímica,0203-9015,137.0,139.0,2.0
1,Biotecnologia,0203-9016,132.0,135.0,3.0
1,Engenharia Informática,0203-9119,143.0,143.2,0.2
1,Matemática Aplicada à Economia e à Gestão,0203-9210,139.0,139.8,0.8
1,Ciências Farmacêuticas,0203-9494,150.0,151.5,1.5
1,Bioengenharia,0203-9540,145.0,147.5,2.5
1,Gestão Marinha e Costeira,0203-L123,128.0,132.0,4.0
1,Economia,0204-9081,138.0,141.8,3.8
1,Gestão de Empresas,0204-9152,157.0,160.8,3.8
1,Sociologia,0204-9240,143.0,144.5,1.5
1,Ciências Biomédicas,0206-9351,159.0,161.5,2.5
1,Administração Pública,0300-9002,156.0,153.0,-3.0
1,Biologia,0300-9011,163.0,164.5,1.5
1,Biologia e Geologia,0300-9012,154.0,155.5,1.5
1,Bioquímica,0300-9015,159.0,160.0,1.0
1,Biotecnologia,0300-9016,171.0,170.0,-1.0
1,Ciências do Mar,0300-9041,137.0,132.0,-5.0
1,Design,0300-9069,176.0,193.2,17.2
1,Economia,0300-9081,172.0,170.2,-1.8
1,Engenharia Civil,0300-9089,156.0,157.5,1.5
1,Engenharia de Materiais,0300-9096,138.0,136.0,-2.0
1,Engenharia do Ambiente,0300-9099,134.0,134.0,0.0
1,Engenharia e Gestão Industrial,0300-9104,177.0,188.0,11.0
1,Engenharia Física,0300-9113,161.0,161.5,0.5
1,Engenharia Informática,0300-9119,182.0,187.5,5.5
1,Engenharia Mecânica,0300-9123,168.0,166.5,-1.5
1,Engenharia Química,0300-9125,149.0,149.5,0.5
1,Física,0300-9141,150.0,152.5,2.5
1,Geologia,0300-9146,135.0,133.0,-2.0
1,Gestão,0300-9147,179.0,172.0,-7.0
1,Línguas e Estudos Editoriais,0300-9194,164.0,155.0,-9.0
1,Línguas e Relações Empresariais,0300-9196,162.0,160.5,-1.5
1,"Línguas, Literaturas e Culturas",0300-9204,154.0,150.5,-3.5
1,Matemática,0300-9209,162.0,163.5,1.5
1,Psicologia,0300-9219,174.0,166.2,-7.8
1,Química,0300-9223,157.0,159.5,2.5
1,Tradução,0300-9252,153.0,150.0,-3.0
1,Ciências Biomédicas,0300-9351,178.0,170.0,-8.0
1,Engenharia Biomédica,0300-9455,173.0,170.5,-2.5
1,Medicina,0300-9813,184.0,199.0,15.0
1,Educação Básica,0300-9853,155.0,156.5,1.5
1,Gestão e Planeamento em Turismo,0300-L187,150.0,148.2,-1.8
1,Engenharia de Automação Industrial,0300-L202,138.0,135.0,-3.0
1,Engenharia Eletrotécnica e de Computadores,0300-L209,151.0,149.0,-2.0
1,Engenharia de Computadores e Informática,0300-L217,159.0,154.0,-5.0
1,Engenharia Aeroespacial,0300-L221,186.0,187.5,1.5
1,Engenharia Computacional,0300-L223,143.0,140.5,-2.5
1,Multimédia e Tecnologias da Comunicação,0300-L254,159.0,156.5,-2.5
1,"Meteorologia, Oceanografia e Clima",0300-L298,130.0,129.0,-1.0
1,Optometria e Ciências da Visão,0400-8184,130.0,133.0,3.0
1,Bioquímica,0400-9015,139.0,138.0,-1.0
1,Biotecnologia,0400-9016,132.0,134.0,2.0
1,Ciência Política e Relações Internacionais,0400-9020,168.0,160.2,-7.8
1,Ciências da Comunicação,0400-9023,152.0,146.5,-5.5
1,Ciências da Cultura,0400-9025,130.0,133.0,3.0
1,Cinema,0400-9048,158.0,155.5,-2.5
1,Design de Moda,0400-9071,162.0,162.5,0.5
1,Design Industrial,0400-9074,146.0,144.5,-1.5
1,Design Multimédia,0400-9075,154.0,153.0,-1.0
1,Economia,0400-9081,144.0,139.0,-5.0
1,Engenharia Civil,0400-9089,138.0,138.8,0.8
1,Engenharia e Gestão Industrial,0400-9104,142.0,140.8,-1.2
1,Engenharia Eletromecânica,0400-9105,147.0,146.8,-0.2
1,Engenharia Eletrotécnica e de Computadores,0400-9112,142.0,145.2,3.2
1,Engenharia Informática,0400-9119,142.0,139.0,-3.0
1,Filosofia,0400-9139,149.0,148.5,-0.5
1,Gestão,0400-9147,160.0,160.0,0.0
1,Marketing,0400-9205,143.0,138.8,-4.2
1,Psicologia,0400-9219,166.0,153.0,-13.0
1,Química Industrial,0400-9225,126.0,130.5,4.5
1,Sociologia,0400-9240,147.0,141.0,-6.0
1,Arquitetura,0400-9257,167.0,178.0,11.0
1,Ciências Biomédicas,0400-9351,155.0,155.0,0.0
1,Ciências Farmacêuticas,0400-9494,160.0,161.5,1.5
